position;square;price;direction;type;name;
0;90;2500;0;2室1厅1卫;华润凯旋门;
0;90;2500;0;2室2厅1卫;西湖一号;
0;60;2500;0;2室1厅1卫;力旺康景;
0;122;2500;0;2室1厅1卫;园丁花园;
5;68;2500;0;3室1厅1卫;桂林胡同;
4;146;2500;0;3室2厅2卫;万福小区;
5;80;2500;0;2室2厅1卫;工程学院家属楼;
2;95;2500;0;2室2厅1卫;好景山庄;
0;110;2500;0;2室2厅1卫;金叶嘉园;
0;110;2500;0;3室2厅1卫;嘉惠红树湾;
0;98;2500;0;2室2厅1卫;华荣泰时代;
0;89;2500;0;2室2厅1卫;万科城;
4;104;2500;0;2室2厅1卫;先行名苑;
1;75;2500;0;2室1厅1卫;万龙名城;
0;110;2500;0;2室2厅1卫;富奥花园C区;
2;120;2500;0;3室2厅1卫;净水山庄;
0;100;2500;0;3室2厅1卫;万科城;
0;90;2500;0;2室2厅2卫;中海国际社区(E区);
0;102;2500;1;2室2厅1卫;远洋戛纳小镇;
5;100;2500;0;3室1厅1卫;湖光小区;
0;80;2500;0;2室2厅1卫;万科城;
5;124;2500;0;3室2厅1卫;湖西小区;
0;89;2500;0;2室2厅1卫;保利罗兰香谷;
0;110;2400;0;2室2厅1卫;富奥花园C区;
0;80;2400;1;1室1厅1卫;华荣泰时代;
1;100;2400;0;2室2厅1卫;万龙名城;
2;80;2400;0;2室1厅1卫;信达东湾半岛A区;
0;98;2400;0;2室2厅1卫;高新怡众名城;
0;87;2300;0;2室2厅1卫;锦绣东南;
5;78;2300;0;2室1厅1卫;长影世纪村;
1;100;2300;0;3室2厅2卫;蔚蓝国际;
2;99;2300;0;2室2厅1卫;长春明珠;
2;45;2300;1;1室1厅1卫;天伦中央广场;
0;80;2300;0;2室1厅1卫;环球凯旋公馆;
5;45;2300;4;1室1厅1卫;大禹南湖首府;
0;99;2300;0;2室2厅1卫;蓝调倾城;
0;89;2300;0;2室2厅1卫;力旺格林春天;
0;50;2300;0;1室1厅1卫;GTC环球贸易中心;
5;64;2300;0;1室0厅1卫;富苑盛世城;
0;50;2300;0;1室1厅1卫;垠禄新界;
0;96;2300;0;2室1厅1卫;首地首城;
5;55;2300;4;1室0厅1卫;富苑盛世城;
0;100;2300;0;2室2厅1卫;假日名都;
1;50;2300;0;2室0厅1卫;万龙名城;
1;72;2300;0;2室1厅1卫;万龙名城;
2;75;2300;0;2室1厅1卫;绿地新里中央公馆C区;
5;100;2300;0;2室2厅1卫;富豪花园;
5;100;2200;0;2室1厅1卫;慈光世纪居;
2;108;2200;0;2室2厅1卫;创新花园;
3;84;2200;0;2室1厅1卫;证大光明城一期;
5;45;2200;4;1室1厅1卫;万达广场;
5;80;2200;0;3室1厅1卫;地震局宿舍;
2;25;2200;0;1室1厅1卫;亚泰鼎盛国际;
0;100;2200;0;2室1厅1卫;东润枫景;
1;96;2200;0;2室2厅1卫;汉森金烁广场;
2;84;2200;0;2室1厅1卫;信达东湾半岛(第三区);
0;120;2200;0;3室2厅1卫;新星宇和邑(A区);
0;90;2200;0;2室2厅1卫;中国铁建国际花园(一期);
1;93;2200;1;3室1厅1卫;奥体玉园;
0;90;2200;0;2室2厅1卫;中国铁建国际花园(一期);
1;80;2200;0;1室1厅1卫;蓝色港湾(二期);
5;120;2200;0;3室1厅1卫;大兴小区;
2;62;2200;0;1室1厅1卫;绿地新里中央公馆C区;
5;84;2200;0;2室1厅1卫;长久家苑2区;
1;54;2200;0;1室1厅1卫;蓝色港湾(一期);
2;25;2200;0;1室1厅1卫;亚泰鼎盛国际;
2;50;2100;0;2室1厅1卫;天伦中央;
0;83;2100;0;2室1厅1卫;超达家园;
0;60;2100;0;1室1厅1卫;棠棣;
0;90;2100;0;2室2厅1卫;万龙丽水湾;
2;46;2100;1;1室1厅1卫;天伦中央;
1;80;2100;0;2室1厅1卫;万龙名城;
5;56;2100;0;1室0厅1卫;富苑盛世城;
5;70;2100;0;2室1厅1卫;桂林小区;
5;74;2100;0;2室2厅1卫;东安开运福里;
2;80;2000;1;1室1厅1卫;万晟现代城B区;
3;98;2000;0;2室2厅1卫;卓扬中华城;
0;90;2000;0;2室2厅1卫;恒大帝景;
0;80;2000;0;2室2厅1卫;天旗凤凰城;
5;80;2000;0;3室1厅1卫;南湖新村;
1;90;2000;0;2室2厅1卫;吉星花园;
1;63;2000;1;1室1厅1卫;万科蓝山;
5;80;2000;0;2室1厅1卫;司法厅宿舍;
3;90;2000;0;2室2厅1卫;东田青年城;
0;103;2000;0;2室2厅1卫;咖啡小镇;
0;70;2000;0;2室1厅1卫;东城国际花园;
0;74;2000;0;2室1厅1卫;嘉柏湾;
5;45;2000;1;1室1厅1卫;大禹南湖首府;
2;62;2000;0;1室1厅1卫;亚泰鼎盛国际;
5;85;2000;0;2室2厅1卫;威尼斯花园;
4;96;2000;0;2室2厅1卫;丰和西郡;
1;60;2000;0;1室1厅1卫;昊源高格蓝湾;
0;118;2000;0;2室2厅1卫;金色世界湾;
5;91;2000;0;3室2厅1卫;南湖新村;
1;96;1950;1;2室2厅1卫;亚泰杏花苑;
0;72;1900;0;2室1厅1卫;远创樾府;
2;62;1900;0;2室1厅1卫;东北师范大学第一教职工...;
5;42;1900;0;1室1厅1卫;阳光城;
5;88;1900;0;2室2厅1卫;星宇华宇花园;
0;65;1900;0;2室1厅1卫;东城国际花园;
5;60;1900;0;2室1厅1卫;南湖祥水湾;
4;104;1900;0;2室1厅1卫;万福小区;
0;60;1900;0;2室1厅1卫;金色世界湾;
0;75;1900;0;2室1厅1卫;新星宇和邑(A区);
5;57;1850;0;1室1厅1卫;万达广场;
5;36;1805;4;1室0厅1卫;世纪鸿源;
0;89;1800;0;2室1厅1卫;远创樾府;
0;58;1800;0;1室1厅1卫;天茂城中央;
5;45;1800;1;1室0厅1卫;大禹南湖首府;
5;45;1800;0;1室1厅1卫;大禹南湖首府;
0;90;1800;0;2室2厅1卫;七小区;
0;64;1800;0;2室1厅1卫;金色世界湾;
0;100;1800;0;2室1厅1卫;中海紫御华府;
0;74;1800;0;2室1厅1卫;远创樾府;
0;50;1800;0;1室1厅1卫;中国铁建国际花园(一期);
4;90;1800;0;2室1厅1卫;水利家园;
2;62;1800;0;1室1厅1卫;万晟现代城;
5;62;1800;0;2室1厅1卫;桂林小区;
0;70;1800;0;1室1厅1卫;安华美郡;
5;80;1800;0;2室1厅1卫;交通小区;
0;58;1800;0;2室1厅1卫;隆泰富苑;
5;49;1800;0;1室1厅1卫;富苑盛世城;
2;63;1800;0;2室1厅1卫;永春居住区;
5;98;1800;0;2室1厅1卫;和光小区;
2;50;1800;0;1室1厅1卫;天伦中央广场;
3;88;1800;0;2室1厅1卫;沈铁盛华庭;
2;49;1800;0;1室1厅1卫;天伦中央;
1;88;1800;0;3室1厅1卫;澳海梦想城;
1;55;1800;0;1室1厅1卫;昊源高格蓝湾;
0;45;1800;0;1室1厅1卫;首地首城;
0;98;1800;0;2室2厅1卫;环球凯旋公馆;
1;75;1750;0;2室2厅1卫;德展长春印;
0;45;1700;0;1室1厅1卫;中海国际社区(AJ区);
4;60;1700;0;2室0厅1卫;先行名苑;
5;40;1700;0;1室1厅1卫;桂林小区;
0;45;1700;4;1室1厅1卫;剑桥园西区;
2;60;1700;0;2室1厅1卫;航空家园;
0;65;1700;0;1室1厅1卫;安华美郡;
2;50;1700;4;1室1厅1卫;东康小区;
0;83;1700;0;2室2厅1卫;东皇君园一期;
0;86;1700;0;2室2厅1卫;中意之尊;
0;55;1700;0;1室1厅1卫;天茂城中央;
5;50;1700;0;1室1厅1卫;安达天下;
0;89;1700;0;2室2厅1卫;领秀蓝珀湖;
0;56;1700;0;1室1厅1卫;高新怡众名城;
0;58;1700;0;1室1厅1卫;昆玉府;
4;76;1700;0;2室1厅1卫;丰和西郡;
5;66;1700;0;2室1厅1卫;西昌小区西区;
5;63;1700;1;2室1厅1卫;四分局吉大家属楼;
4;80;1700;0;2室1厅1卫;中新花园;
0;60;1700;0;1室1厅1卫;天茂城中央;
0;76;1700;0;2室1厅1卫;领秀蓝珀湖;
4;77;1700;0;2室1厅1卫;丰和西郡;
5;56;1700;0;2室0厅1卫;领秀朝阳;
4;55;1700;0;1室1厅1卫;北方尚品;
0;53;1666;0;1室1厅1卫;伟业星城;
2;60;1666;0;2室1厅1卫;龙泰富苑;
2;49;1666;0;1室1厅1卫;天伦中央;
5;65;1650;0;2室1厅1卫;安达小区;
2;40;1650;0;1室0厅1卫;中金名筑;
0;47;1650;0;1室1厅1卫;天茂城中央;
0;105;1650;0;2室1厅1卫;雍景嘉苑;
5;85;1650;0;2室1厅1卫;信义小区;
2;87;1650;0;2室2厅1卫;工大新村武威路;
0;49;1650;0;1室1厅1卫;天盛名都;
2;49;1600;1;1室1厅1卫;万晟现代城;
2;46;1600;1;1室1厅1卫;天伦中央;
2;80;1600;1;2室1厅1卫;净水山庄;
0;60;1600;0;1室1厅1卫;华盛碧水云天一期;
1;60;1600;0;1室1厅1卫;松苑小区;
0;46;1600;0;1室1厅1卫;新星宇左岸小区;
2;80;1600;0;2室1厅1卫;师大东电社区;
2;55;1600;0;1室1厅1卫;龙泰富苑;
0;63;1600;0;2室1厅1卫;天茂城中央;
1;60;1600;0;1室2厅1卫;金色橄榄城二期;
0;50;1600;0;2室1厅1卫;澳海澜庭;
4;45;1600;1;1室1厅1卫;中冶新奥蓝城三期;
3;70;1600;0;2室1厅1卫;万龙第十城;
5;55;1600;0;1室0厅1卫;富苑盛世城;
0;88;1600;0;2室1厅1卫;澳海澜苑;
0;55;1600;0;1室1厅1卫;华盛碧水云天一期;
0;58;1600;0;2室1厅1卫;像素公馆;
1;68;1600;0;2室1厅1卫;亚泰樱花苑;
1;88;1600;0;2室1厅1卫;二道晨宇小区(一期);
0;50;1600;0;2室2厅2卫;保利拉菲公馆C区;
5;50;1600;1;1室1厅1卫;西中华小区;
3;91;1600;0;2室2厅1卫;上台花园A区;
1;60;1600;0;1室1厅1卫;长江花园;
5;85;1600;0;2室1厅1卫;易安花园;
2;96;1600;0;2室1厅1卫;八一水韵城D区;
0;52;1600;0;1室1厅1卫;新星宇左岸小区;
1;60;1600;0;2室1厅1卫;丽景秀苑;
5;43;1600;0;1室0厅1卫;富苑盛世城;
3;60;1600;0;2室1厅1卫;北安路2021号小区;
5;60;1600;0;2室1厅1卫;科技花园;
4;95;1600;0;2室2厅1卫;隆都翡翠湾;
4;75;1600;0;2室1厅1卫;大禹华邦;
3;85;1600;0;2室1厅1卫;豪邦四季经典;
5;50;1600;1;1室0厅1卫;万达广场;
0;50;1600;0;1室1厅1卫;高新怡众名城;
1;75;1600;0;2室1厅1卫;德展长春印;
5;57;1600;1;2室1厅1卫;大禹南湖首府;
4;60;1600;0;1室1厅1卫;交通指挥中心标点小区;
0;75;1600;0;1室1厅1卫;众诚一品东南;
0;85;1600;0;2室2厅1卫;东方1号;
3;58;1600;4;1室0厅1卫;万达公寓;
4;71;1600;0;2室1厅1卫;吉林省第二建筑公司第二...;
3;93;1600;0;2室1厅1卫;金苹果家园;
5;54;1600;0;2室1厅1卫;领秀朝阳;
5;42;1600;3;1室1厅1卫;金坐标;
5;80;1600;1;2室2厅1卫;永昌路小区;
5;50;1600;0;2室0厅1卫;大禹城邦;
3;92;1550;0;2室2厅1卫;兆丰凯旋明珠;
1;52;1550;4;1室1厅1卫;上东街区;
2;65;1500;0;2室1厅1卫;园东小区;
2;70;1500;0;2室1厅1卫;四五小区;
0;35;1500;3;1室1厅1卫;倚澜观邸(二期);
2;70;1500;0;3室1厅1卫;桃源春晖小区;
3;98;1500;0;2室1厅;沈铁北部湾(B区);
1;51;1500;0;2室1厅1卫;吉盛花园;
5;60;1500;0;2室1厅1卫;中医学院宿舍;
1;60;1500;0;2室1厅1卫;亚泰杏花苑;
1;50;1500;0;1室1厅1卫;阳光帝景;
1;41;1500;0;1室1厅1卫;御景名都B区;
0;52;1500;0;1室1厅1卫;绿地长春上海城C区;
5;40;1500;1;1室0厅1卫;大禹城邦;
5;65;1500;1;2室1厅0卫;西昌小区东区;
4;121;1500;0;2室1厅1卫;弘海小区;
3;60;1500;0;2室1厅1卫;康泰小区(D区);
5;42;1500;0;1室0厅1卫;金坐标;
2;60;1500;0;2室1厅1卫;【首租】长春大街二院自...;
2;70;1500;0;2室1厅1卫;邮政宿舍;
1;76;1500;0;2室1厅1卫;香水湾;
4;70;1500;0;3室1厅1卫;西延小区;
4;54;1500;0;1室1厅1卫;西城国际公馆;
1;48;1500;0;1室1厅1卫;昊源高格蓝湾;
3;54;1500;0;1室1厅1卫;龙泰檀香苑;
2;74;1500;0;2室1厅1卫;净水山庄;
5;40;1500;0;1室1厅1卫;桂林小区;
1;55;1500;0;1室1厅1卫;武夷嘉园;
1;65;1500;0;2室1厅1卫;热电新村二区;
3;75;1500;0;2室1厅1卫;钻石礼都西区;
0;48;1500;0;1室1厅1卫;西湖一号;
2;40;1500;0;1室1厅1卫;中海金域中央;
0;58;1500;0;1室1厅1卫;新星宇和邑(C区);
4;70;1500;4;2室1厅1卫;诚悦家园;
0;80;1500;0;2室1厅1卫;福临花园;
0;60;1500;0;1室1厅1卫;安华美郡;
0;35;1500;0;1室0厅1卫;倚澜观邸(二期);
0;60;1500;0;1室1厅1卫;金色橄榄城;
2;80;1500;1;2室1厅1卫;林业厅宿舍;
5;60;1500;0;2室1厅1卫;气象宿舍小区;
2;72;1500;0;2室1厅1卫;电力七小区;
1;59;1500;0;1室1厅1卫;松苑小区;
0;62;1500;0;1室1厅1卫;天茂城中央;
1;54;1500;0;1室1厅1卫;蔚蓝国际;
2;80;1500;0;3室1厅1卫;东岭解困小区;
0;50;1500;0;1室1厅1卫;大唐东方盛世;
0;49;1500;0;2室1厅1卫;金色世界湾;
0;48;1500;4;1室1厅1卫;月伴林湾;
0;65;1500;0;2室1厅1卫;开发区六小区;
2;70;1500;0;2室1厅1卫;永长小区;
1;98;1500;0;2室2厅1卫;松苑小区;
0;50;1500;0;1室1厅1卫;力旺格林春天;
0;45;1500;0;1室0厅1卫;倚澜观邸(一期);
0;72;1500;0;2室1厅1卫;东皇波尔的家;
5;74;1500;0;2室1厅1卫;华侨新村;
2;40;1500;0;1室1厅1卫;水利宿舍(人民大街);
3;53;1500;0;1室1厅1卫;恒大城;
3;50;1400;0;2室1厅1卫;华大天朗国际A区;
5;60;1400;0;1室1厅1卫;青云小区;
3;55;1400;0;1室0厅1卫;万达公寓;
1;64;1400;0;2室1厅1卫;亚泰桂花苑;
4;59;1400;0;1室1厅1卫;成城蓉桥壹号;
2;55;1400;0;1室1厅1卫;重庆小区;
2;70;1400;0;2室1厅1卫;平阳小区;
0;1400;1400;0;1室1厅1卫;力旺康景;
0;30;1400;1;1室1厅1卫;天茂城中央;
3;60;1400;0;2室1厅1卫;旭阳家园二期;
5;63;1400;0;2室1厅1卫;地矿花园;
4;50;1400;0;1室1厅1卫;大众花园三期;
2;54;1400;0;1室1厅1卫;卫星花园;
1;80;1400;0;2室1厅1卫;吉盛小区;
2;60;1400;1;2室1厅1卫;三四小区;
5;62;1400;0;2室1厅1卫;同光路丰顺街;
5;65;1400;0;2室1厅1卫;南湖新村;
0;57;1400;0;1室1厅1卫;远创樾府;
5;50;1400;0;1室1厅1卫;金坐标;
0;40;1400;0;1室1厅1卫;倚澜观邸(二期);
3;90;1377;0;2室2厅1卫;基隆家园;
0;46;1350;1;1室0厅1卫;恒盛豪庭;
0;70;1300;0;1室1厅1卫;恒盛豪庭;
3;60;1300;0;1室1厅1卫;华大天朗国际;
0;43;1300;4;1室1厅1卫;恒盛豪庭;
0;70;1300;0;2室1厅1卫;乐东拖拉机宿舍;
4;65;1300;0;2室1厅1卫;娜奇美商住综合楼;
1;53;1300;0;2室1厅1卫;汉森金烁广场;
1;63;1300;0;2室0厅1卫;盈嘉大厦;
2;50;1300;0;2室1厅1卫;卫星花园;
5;25;1300;0;6室0厅6卫;富豪花园;
4;60;1300;1;2室1厅1卫;旺达小区;
2;40;1300;0;1室1厅1卫;卉香花园;
5;68;1300;0;2室1厅1卫;昌平铁路小区;
4;70;1300;0;2室1厅1卫;长客厂南B区;
0;50;1300;0;1室1厅1卫;恒盛豪庭;
1;51;1300;0;2室1厅1卫;蓝色港湾(一期);
5;70;1300;0;2室1厅1卫;长春光机与物理研究所第...;
0;20;1300;0;4室1厅4卫;澳洲城;
5;45;1300;0;1室1厅1卫;典石广场;
2;60;1300;0;2室1厅1卫;星河湾;
4;50;1300;1;1室1厅1卫;万盛理想国红堡;
1;56;1300;0;2室1厅1卫;荣乐家园;
0;56;1300;0;1室1厅1卫;假日名都;
0;69;1300;1;2室1厅1卫;34街区;
2;61;1300;1;2室1厅1卫;南关区政府家属楼;
3;56;1300;0;2室1厅1卫;钻石礼都西区;
4;50;1300;0;1室1厅1卫;万盛理想国红堡;
0;61;1260;0;1室2厅1卫;大众欢乐颂;
0;35;1250;1;1室0厅1卫;倚澜观邸(一期);
4;46;1250;0;1室0厅1卫;万盛理想国;
4;60;1200;0;2室1厅1卫;生物宿舍;
0;42;1200;3;1室1厅1卫;佳泰缔景城;
1;60;1200;0;2室1厅1卫;滨河东区;
1;60;1200;0;1室1厅1卫;东逸美郡;
0;20;1200;0;6室0厅7卫;22街区;
2;50;1200;0;1室1厅1卫;卫星花园;
1;53;1200;0;2室1厅1卫;昊源高格蓝郡;
4;47;1200;0;1室1厅1卫;万鑫花园;
0;30;1200;0;8室1厅6卫;GTC环球贸易中心;
2;55;1200;0;2室1厅1卫;星河湾;
0;56;1200;0;1室1厅1卫;佳泰缔景城;
0;72;1200;1;1室2厅1卫;大众欢乐颂;
5;5233;1200;4;1室1厅1卫;轻铁湖光花园(二期);
3;60;1200;0;2室1厅1卫;美景天城B区;
1;50;1200;0;1室1厅1卫;亚泰花园桃花苑;
4;41;1200;1;1室1厅1卫;大禹华邦;
3;63;1200;0;2室1厅1卫;地铁名典海棠苑;
0;122;1200;0;3室2厅2卫;中海蘭庭;
2;70;1200;1;3室1厅1卫;二三小区;
3;75;1146;0;2室1厅1卫;基隆家园;
1;55;1100;0;2室1厅1卫;新开河小区;
3;65;1100;0;2室1厅1卫;团山小区;
5;62;1100;0;2室1厅1卫;省委党校宿舍;
1;56;1100;0;1室1厅1卫;吉盛小区;
5;25;1100;0;8室2厅3卫;南关区自强街道重庆路北...;
1;76;1100;0;2室1厅1卫;金色8里城二期;
1;60;1100;0;1室1厅1卫;长电紫盈花城;
4;62;1100;0;2室1厅1卫;普阳小区;
1;70;1100;0;2室1厅1卫;金色8里城二期;
3;68;1100;0;2室1厅1卫;华大城;
0;40;1100;0;1室1厅1卫;47街区;
0;22;1100;0;1室0厅1卫;红苹果家园;
2;40;1100;0;1室1厅1卫;电力三小区;
5;15;1100;2;4室2厅4卫;星宇名家;
2;38;1100;4;1室1厅1卫;奥莱公寓;
2;50;1000;0;2室1厅1卫;解民物业小区;
2;50;1000;1;1室1厅1卫;永春居住区;
0;40;1000;0;1室1厅1卫;一汽43街区;
0;40;1000;0;1室1厅1卫;39街区;
0;60;1000;0;2室1厅1卫;1街区;
0;25;1000;0;6室1厅6卫;诺睿德翰府;
2;49;1000;1;2室1厅1卫;信达东湾半岛第四区;
3;55;1000;0;2室1厅1卫;旭阳家园;
0;58;1000;0;2室1厅1卫;荣鼎康城;
1;50;1000;0;1室1厅1卫;昊源高格蓝郡;
5;120;1000;0;3室2厅2卫;豪邦缇香公馆;
1;50;1000;1;1室1厅1卫;亚泰杏花苑;
4;65;1000;0;2室1厅1卫;一汽20街区;
1;41;1000;0;1室1厅1卫;通安小区;
0;45;1000;0;1室1厅1卫;33街区;
5;62;1000;0;1室2厅1卫;青云小区;
0;15;1000;0;1室1厅1卫;阳光城;
3;54;965;0;2室1厅1卫;柳影家园;
5;37;950;0;1室1厅1卫;铁路小区;
5;20;930;0;1室0厅1卫;富苑华城;
2;25;900;0;2室2厅1卫;华侨休闲广场;
3;46;900;1;1室1厅1卫;康泰乐园;
0;25;900;0;4室2厅2卫;中海水岸春城;
0;18;900;0;4室2厅2卫;枫林园;
5;30;900;0;1室1厅1卫;德昌小区;
0;45;900;0;1室1厅1卫;金祥奥邻郡;
5;25;900;2;1室1厅1卫;康达小区;
5;25;900;0;1室1厅1卫;富豪花园;
1;55;850;0;1室1厅1卫;吉星花园;
2;42;850;0;1室1厅1卫;龙泰富苑;
5;18;850;0;4室1厅1卫;国联小区;
2;18;850;2;2室1厅1卫;新城雅苑;
0;20;850;2;2室1厅1卫;经开五区;
0;35;850;0;5室1厅2卫;海口花园;
1;42;800;0;1室1厅1卫;万科蓝山;
5;25;800;1;7室1厅1卫;红旗街西四胡同;
3;50;800;0;1室1厅1卫;温馨花园;
5;40;800;2;4室1厅1卫;红旗街西三胡同;
0;20;800;0;6室1厅1卫;临河风景苑;
4;40;800;0;1室1厅1卫;一汽20街区;
5;40;800;2;3室1厅1卫;信义新区;
0;47;800;2;2室1厅1卫;经开四区;
5;60;800;0;2室2厅2卫;清华小区;
5;28;800;2;7室2厅2卫;得昌小区;
3;15;800;0;8室1厅2卫;长春银座;
5;28;800;2;7室2厅2卫;得昌小区;
0;15;800;0;7室1厅1卫;伟业星城;
0;20;800;0;3室2厅2卫;福临家园;
5;25;800;0;3室1厅1卫;长春光机与物理研究所第...;
0;17;800;0;5室0厅2卫;新星宇和邑(C区);
0;30;750;0;5室1厅1卫;巴赫丽舍;
2;20;750;2;3室1厅1卫;东师家园净月住宅(一区);
5;30;750;2;3室1厅1卫;华侨新村;
5;16;750;0;8室1厅2卫;桂林小区;
5;15;750;2;4室1厅1卫;信义新区;
5;30;750;2;3室1厅1卫;华侨新村;
0;80;750;2;2室1厅1卫;经开八区;
5;17;750;0;8室1厅2卫;桂林小区;
0;16;750;2;2室1厅1卫;新开河小区南区;
0;20;750;0;6室1厅2卫;国信嘉邑;
0;20;750;0;1室0厅1卫;新星宇和邑(A区);
5;25;750;2;2室1厅1卫;东安开运福里;
5;20;750;0;6室1厅2卫;得易居;
1;60;750;0;2室1厅1卫;滨河东区;
5;30;700;2;3室1厅1卫;长久家苑2区;
5;30;700;2;3室1厅1卫;红旗街长影宿舍;
2;25;700;2;5室1厅2卫;我的家园;
1;20;700;0;3室1厅1卫;吉森春城;
4;80;700;2;3室1厅1卫;朝阳小区;
5;30;700;2;4室1厅1卫;富锦路天宝街;
